id,snapshot_date,popularity,vote_average,vote_count
596161,2026-02-20,1.7916,6.815,746
508442,2026-02-20,11.0426,8.097,11192
715756,2026-02-20,5.0978,6.368,34
786026,2026-02-20,0.0922,6.0,1
689130,2026-02-20,0.1592,10.0,1
711978,2026-02-20,10.3464,4.429,7
698818,2026-02-20,3.819,7.0,3
555457,2026-02-20,1.0708,6.2,89
454626,2026-02-20,11.3045,7.29,10252
801489,2026-02-20,0.0495,6.0,1
524047,2026-02-20,23.1384,7.128,5084
38700,2026-02-20,8.1419,7.122,8627
623305,2026-02-20,1.4951,6.114,22
514287,2026-02-20,0.278,3.3,11
587792,2026-02-20,6.1654,7.331,3556
577922,2026-02-20,10.2789,7.175,10853
635302,2026-02-20,9.7546,8.204,4396
624782,2026-02-20,0.5524,5.9,28
545609,2026-02-20,8.139,7.297,6488
667143,2026-02-20,0.0862,5.0,2
728103,2026-02-20,0.2945,4.2,4
752975,2026-02-20,0.2495,7.0,4
429422,2026-02-20,4.2475,5.02,424
373858,2026-02-20,0.1992,4.8,14
755401,2026-02-20,0.7768,6.3,15
707214,2026-02-20,0.259,4.98,49
746476,2026-02-20,0.5148,6.957,47
1381967,2026-02-20,1.0382,9.0,1
679896,2026-02-20,0.2445,4.833,12
669930,2026-02-20,0.1632,0.0,0
824120,2026-02-20,0.3556,4.0,2
464052,2026-02-20,9.54,6.374,8930
1154796,2026-02-20,0.2408,0.0,0
495764,2026-02-20,9.423,6.885,10689
1352415,2026-02-20,0.0368,0.0,0
594084,2026-02-20,0.762,5.382,68
1306798,2026-02-20,0.1544,0.0,0
577922,2026-02-20,10.2789,7.175,10853
810233,2026-02-20,0.0357,0.0,0
508442,2026-02-20,11.0426,8.097,11192
807979,2026-02-20,3.4972,5.2,5
1352415,2026-02-20,0.0368,0.0,0
801489,2026-02-20,0.0495,6.0,1
615677,2026-02-20,5.1273,5.958,800
454626,2026-02-20,11.3045,7.29,10252
524047,2026-02-20,23.1384,7.128,5084
635302,2026-02-20,9.7546,8.204,4396
464052,2026-02-20,9.54,6.374,8930
555457,2026-02-20,1.0708,6.2,89
715756,2026-02-20,5.0978,6.368,34
623305,2026-02-20,1.4951,6.114,22
514287,2026-02-20,0.278,3.3,11
689130,2026-02-20,0.1592,10.0,1
786026,2026-02-20,0.0922,6.0,1
752975,2026-02-20,0.2495,7.0,4
587792,2026-02-20,6.1654,7.331,3556
429422,2026-02-20,4.2475,5.02,424
667143,2026-02-20,0.0862,5.0,2
495764,2026-02-20,9.423,6.885,10689
746476,2026-02-20,0.5148,6.957,47
679896,2026-02-20,0.2445,4.833,12
624782,2026-02-20,0.5524,5.9,28
711978,2026-02-20,10.3464,4.429,7
669930,2026-02-20,0.1632,0.0,0
1381967,2026-02-20,1.0382,9.0,1
373858,2026-02-20,0.1992,4.8,14
38700,2026-02-20,8.1419,7.122,8627
824120,2026-02-20,0.3556,4.0,2
755401,2026-02-20,0.7768,6.3,15
698818,2026-02-20,3.819,7.0,3
545609,2026-02-20,8.139,7.297,6488
707214,2026-02-20,0.259,4.98,49
728103,2026-02-20,0.2945,4.2,4
596161,2026-02-20,1.7916,6.815,746
1154796,2026-02-20,0.2408,0.0,0
810233,2026-02-20,0.0357,0.0,0
807979,2026-02-20,3.4972,5.2,5
615677,2026-02-20,5.1273,5.958,800
701928,2026-02-20,0.2593,0.0,0
1306798,2026-02-20,0.1544,0.0,0
594084,2026-02-20,0.762,5.382,68
746375,2026-02-20,1.0317,4.429,7
621705,2026-02-20,0.1964,6.6,23
642666,2026-02-20,0.2099,6.2,8
696826,2026-02-20,0.29,5.596,68
704803,2026-02-20,0.0786,0.0,0
685632,2026-02-20,0.4717,7.0,3
1244691,2026-02-20,0.0286,0.0,0
765079,2026-02-20,0.2265,5.5,11
677210,2026-02-20,0.4465,6.5,26
594669,2026-02-20,0.943,6.3,124
522627,2026-02-20,7.0356,7.668,6418
749985,2026-02-20,0.1442,0.0,0
995615,2026-02-20,0.5283,0.0,0
628743,2026-02-20,0.1993,5.7,9
1306797,2026-02-20,0.1922,0.0,0
700173,2026-02-20,0.7515,7.484,31
557526,2026-02-20,0.5911,5.9,39
762255,2026-02-20,0.1181,4.5,2
740069,2026-02-20,0.0606,0.0,0
1306589,2026-02-20,0.2028,0.0,0
589174,2026-02-20,1.3265,8.394,71
568994,2026-02-20,0.7676,6.9,77
401313,2026-02-20,0.672,5.125,32
712749,2026-02-20,0.2265,6.786,14
1306595,2026-02-20,0.247,0.0,0
