id,popularity,vote_average,vote_count
596161,1.7916,6.815,746
508442,11.0426,8.097,11192
715756,5.0978,6.368,34
786026,0.0922,6.0,1
689130,0.1592,10.0,1
711978,10.3464,4.429,7
698818,3.819,7.0,3
555457,1.0708,6.2,89
454626,11.3045,7.29,10252
801489,0.0495,6.0,1
524047,23.1384,7.128,5084
38700,8.1419,7.122,8627
623305,1.4951,6.114,22
514287,0.278,3.3,11
587792,6.1654,7.331,3556
577922,10.2789,7.175,10853
635302,9.7546,8.204,4396
624782,0.5524,5.9,28
545609,8.139,7.297,6488
667143,0.0862,5.0,2
728103,0.2945,4.2,4
752975,0.2495,7.0,4
429422,4.2475,5.02,424
373858,0.1992,4.8,14
755401,0.7768,6.3,15
707214,0.259,4.98,49
746476,0.5148,6.957,47
1381967,1.0382,9.0,1
679896,0.2445,4.833,12
669930,0.1632,0.0,0
824120,0.3556,4.0,2
464052,9.54,6.374,8930
1154796,0.2408,0.0,0
495764,9.423,6.885,10689
1352415,0.0368,0.0,0
594084,0.762,5.382,68
1306798,0.1544,0.0,0
577922,10.2789,7.175,10853
810233,0.0357,0.0,0
508442,11.0426,8.097,11192
807979,3.4972,5.2,5
1352415,0.0368,0.0,0
801489,0.0495,6.0,1
615677,5.1273,5.958,800
454626,11.3045,7.29,10252
524047,23.1384,7.128,5084
635302,9.7546,8.204,4396
464052,9.54,6.374,8930
555457,1.0708,6.2,89
715756,5.0978,6.368,34
623305,1.4951,6.114,22
514287,0.278,3.3,11
689130,0.1592,10.0,1
786026,0.0922,6.0,1
752975,0.2495,7.0,4
587792,6.1654,7.331,3556
429422,4.2475,5.02,424
667143,0.0862,5.0,2
495764,9.423,6.885,10689
746476,0.5148,6.957,47
679896,0.2445,4.833,12
624782,0.5524,5.9,28
711978,10.3464,4.429,7
669930,0.1632,0.0,0
1381967,1.0382,9.0,1
373858,0.1992,4.8,14
38700,8.1419,7.122,8627
824120,0.3556,4.0,2
755401,0.7768,6.3,15
698818,3.819,7.0,3
545609,8.139,7.297,6488
707214,0.259,4.98,49
728103,0.2945,4.2,4
596161,1.7916,6.815,746
1154796,0.2408,0.0,0
810233,0.0357,0.0,0
807979,3.4972,5.2,5
615677,5.1273,5.958,800
701928,0.2593,0.0,0
1306798,0.1544,0.0,0
594084,0.762,5.382,68
746375,1.0317,4.429,7
621705,0.1964,6.6,23
642666,0.2099,6.2,8
696826,0.29,5.596,68
704803,0.0786,0.0,0
685632,0.4717,7.0,3
1244691,0.0286,0.0,0
765079,0.2265,5.5,11
677210,0.4465,6.5,26
594669,0.943,6.3,124
522627,7.0356,7.668,6418
749985,0.1442,0.0,0
995615,0.5283,0.0,0
628743,0.1993,5.7,9
1306797,0.1922,0.0,0
700173,0.7515,7.484,31
557526,0.5911,5.9,39
762255,0.1181,4.5,2
740069,0.0606,0.0,0
1306589,0.2028,0.0,0
589174,1.3265,8.394,71
568994,0.7676,6.9,77
401313,0.672,5.125,32
712749,0.2265,6.786,14
1306595,0.247,0.0,0
986518,0.2365,2.0,2
507540,0.4033,5.4,24
566872,1.2949,5.668,188
660717,0.4773,4.3,36
737699,0.0495,0.0,0
554761,0.7319,6.449,204
854482,0.0857,0.0,0
497582,8.6598,7.235,6442
781103,0.1814,4.0,3
716466,0.1527,0.0,0
662320,0.3247,6.0,9
637969,2.6027,5.226,82
675380,0.0641,6.0,1
787009,0.7588,5.5,100
716799,0.4699,5.2,5
606976,0.1368,0.0,0
733032,0.7761,7.0,64
770893,0.265,7.0,3
676490,0.1056,6.7,3
662286,0.1746,6.5,20
686158,0.595,5.8,11
605133,0.5288,5.707,241
805342,0.2413,0.0,0
797556,0.6391,10.0,1
793354,0.1342,10.0,1
680747,0.2508,4.3,3
691449,0.1724,6.0,3
755314,0.0505,0.0,0
524840,1.0247,4.641,92
733339,0.1316,9.0,1
675253,0.3748,5.9,69
526120,0.4305,5.127,63
698800,0.1792,5.4,5
990655,0.1046,0.0,0
737900,0.0719,3.0,3
623666,1.6009,6.281,73
699046,0.4293,5.407,27
441130,4.8065,8.194,1342
852418,0.5567,10.0,1
687649,0.1977,10.0,1
710717,1.0331,6.5,69
767374,0.2237,3.0,1
746730,0.2724,6.4,8
1047629,0.1983,0.0,0
714202,0.2393,4.3,6
608317,0.4073,7.532,252
688258,1.0213,6.19,272
656191,0.3123,0.0,0
670702,0.1592,10.0,1
700311,0.0942,7.0,2
740903,4.4809,5.981,105
1031198,0.1313,0.0,0
733942,0.2208,0.0,0
626882,0.613,6.827,26
766020,0.2197,4.0,2
721510,0.1939,4.563,8
712931,0.5408,0.0,0
737763,0.3561,6.258,31
601297,0.8256,5.463,107
710533,0.0842,5.5,2
574830,0.178,5.7,10
697641,0.7282,5.5,2
546724,1.4495,5.461,271
730780,0.2119,7.7,3
669704,0.0833,2.5,2
744122,0.1028,0.0,0
448119,7.8763,6.584,3822
744713,0.2586,0.0,0
746939,0.3049,5.2,10
754903,0.205,9.3,3
737647,0.3442,0.0,0
692380,0.192,4.5,3
658562,0.8644,5.0,6
894753,1.3992,0.0,0
